"COUNTY","CITY","ADDRESS","DATE"
"CREEK"," SAPULPA"," 17365 SOUTH 97TH WEST AVENUE        ","4/1/2009"
"CREEK"," SAPULPA"," 811 NORTH 10TH                     ","4/14/2009"
"CREEK"," SAPULPA"," 420 WEST BRYAN AVENUE              ","4/24/2009"
"CREEK"," SAPULPA"," 8333 SOUTH 127TH WEST AVENUE       ","6/15/2009"
"CREEK"," SAPULPA"," 11578 W 86TH ST S                   ","7/2/2009"
"CREEK"," SAPULPA"," 9203 GRANT STREET                  ","7/31/2009"
"CREEK"," SAPULPA"," 12117 SOUTH SHAW DRIVE              ","8/4/2009"
"CREEK"," SAPULPA"," 14839 SOUTH 106TH WEST PLACE 25    ","8/25/2009"
"CREEK"," SAPULPA"," 720 SOUTH INDEPENDENCE STREET      ","9/22/2009"
"CREEK"," SAPULPA"," 418 NORTH 3RD STREET               ","10/19/2009"
"CREEK"," SAPULPA"," 317 SOUTH HAWTHORN STREET          ","11/13/2009"
"CREEK"," SAPULPA"," 540 QUAIL RUN LANE                 ","1/27/2010"
"CREEK"," SAPULPA"," 11322 SOUTH 193RD WEST AVENUE       ","2/2/2010"
"CREEK"," SAPULPA"," 9701 NEW SAPULPA ROAD 29A          ","3/15/2010"
"CREEK"," SAPULPA"," 1469 EAST JONES                    ","7/10/2010"
"CREEK"," SAPULPA"," 12418 SOUTH 241 WEST AVENUE        ","7/16/2010"
"CREEK"," SAPULPA"," 15248 GREENHILL DRIVE              ","7/28/2010"
"CREEK"," SAPULPA"," 11379 SOUTH 153RD W. AVENUE        ","7/29/2010"
"CREEK"," SAPULPA"," 623 SOUTH ELM                      ","8/20/2010"
"CREEK"," SAPULPA"," 212 DIVISION                        ","9/7/2010"
"CREEK"," SAPULPA"," 10380 SOUTH 235TH W AVENUE         ","9/15/2010"
"CREEK"," SAPULPA"," 111 EAST BURNHAM                   ","9/16/2010"
"CREEK"," SAPULPA"," 1140 EAST MCKINLEY AVENUE          ","11/2/2010"
"CREEK"," SAPULPA"," 9410 WEST SOUTHFORK ROAD            ","4/7/2011"
"CREEK"," SHAMROCK"," 32 EAST 2ND                         ","8/9/2006"
"CREEK"," TERLTON"," 989 TRAIL END ROAD                  ","2/7/2012"
"CREEK"," TULSA"," 6121 SOUTH 45TH W AVENUE            ","5/7/2009"
"CREEK"," TULSA"," 8418 SOUTH 36TH WEST AVENUE        ","11/12/2009"
"CREEK"," TULSA"," 7522 SOUTH 63RD WEST AVENUE        ","4/27/2010"
"CREEK"," TULSA"," 6715 WEST SOUTH 64TH STREET B      ","3/28/2011"
"CUSTER"," BUTLER"," 320 AMES N                        ","3/29/2002"
"CUSTER"," CANUTE"," PANTHER CREEK ROAD RT2 3A         ","7/26/2007"
"CUSTER"," CLINTON"," 1006 ORIENT                        ","4/5/2002"
"CUSTER"," CLINTON"," 2401 28TH S                       ","4/30/2004"
"DELAWARE"," BERNICE"," 206 SKYLINE                        ","9/29/2011"
"DELAWARE"," COLCORD"," 362 SERENITY DRIVE                 ","3/19/2011"
"DELAWARE"," EUCHA"," 181 MOBILE VISTA DRIVE              ","2/5/2011"
"DELAWARE"," GROVE"," 1531 80TH ST                      ","2/13/2001"
"DELAWARE"," GROVE"," 60950 360 E RD                    ","6/12/2001"
"DELAWARE"," GROVE"," 1011 SOUTH MILL STREET              ","7/1/2008"
"ELLIS"," FARGO"," 316 WALNUT S                      ","6/21/2001"
"GARFIELD"," ENID"," 575 DAVIS N                        ","9/1/2001"
"GARFIELD"," ENID"," 601 OKLAHOMA W                     ","4/5/2002"
"GARFIELD"," ENID"," 605 6 N ST                        ","8/22/2002"
"GARFIELD"," ENID"," 1210 CYPRESS E                    ","10/6/2003"
"GRADY"," BLANCHARD"," 2476 COUNTY ROAD 1339             ","3/25/2004"
"GRADY"," CHICKASHA"," 2236 COUNTY ROAD 1236              ","10/28/2004"
"GRADY"," MINCO"," 1616 EIGHT ST                     ","6/11/2001"
"GRADY"," MINCO"," 1013 WASHINGTON W                 ","4/30/2002"
"GRADY"," NICUT"," 3002 4 S ST                       ","10/13/2000"
"GRADY"," NINNEKAH"," 615 9TH N ST                      ","7/12/2000"
"GRADY"," RUSH"," RUSH SPRINGS          1014 19TH S ST                    ","4/17/2003"
"GRADY"," RUSH"," RUSH SPRINGS          525 WASHINGTON W                  ","10/10/2003"
"GRADY"," RUSH"," RUSH SPRINGS          902 DELAWARE AVE                  ","1/23/2005"
"GRADY"," TUTTLE"," 1210 IDAHO W AVE                  ","1/15/2000"
"GRADY"," TUTTLE"," 1103 2ND NW                       ","1/13/2003"
"GRADY"," TUTTLE"," 1103 SECOND NW ST                  ","8/3/2003"
"GRADY"," TUTTLE"," 209 1/2 CEMETERY N RD              ","9/3/2003"
"GRANT"," NASH"," 708 KIOWA W                       ","11/17/2000"
"GREER"," RUSSELL"," 1336 COUNTY RD 1550                ","9/3/2004"
"HARMON"," GOULD"," GIBSON RD 793                    ","7/21/2003"
"HARMON"," HOLLIS"," 4208 VERNON DR                    ","8/22/2002"
"HARMON"," VINSON"," 310 COTTONWOOD DR                 ","11/9/2004"
"HASKELL"," KEOTA"," 310 COTTONWOOD DR                 ","10/24/2002"
"HASKELL"," MCCURTAIN"," 603 MAIN S                        ","11/15/2000"
"HASKELL"," STIGLER"," 512 WEST BROADWAY STREET            ","5/4/2001"
"HASKELL"," STIGLER"," 314 COLLEGE ST                    ","5/20/2010"
"HASKELL"," STIGLER"," 320 VERSA E                       ","11/1/2010"
"HUGHES"," CALVIN"," 206 BURTON STREET                   ","5/9/2004"
"HUGHES"," CALVIN"," 30878 SOUTH SHW 82                 ","9/26/2009"
"HUGHES"," HOLDENVILLE"," 9th 207 SE ST 5A                  ","8/11/2004"
"HUGHES"," WETUMKA"," 8117 EAST E/W 130 ROAD              ","1/5/2014"
"JACKSON"," ALTUS"," 118 SOUTHWEST C STREET             ","4/23/2002"
"JACKSON"," ALTUS"," 306 NORTHEAST 3RD                  ","5/29/2003"
"JACKSON"," ALTUS"," 502 NORTHWEST 3RD                  ","9/12/2003"
"JACKSON"," ALTUS"," 705 NORTHWEST 2ND                  ","10/5/2003"
"JACKSON"," ALTUS"," 931 KATY                           ","12/15/2014"
"JACKSON"," BLAIR"," 4302 NORTH 381 ROAD                ","2/11/2003"
"JACKSON"," BLAIR"," 413 VORHEES N ST                   ","5/9/2008"
"JACKSON"," ELDORADO"," 201 BURNS N ST                    ","3/18/2008"
"JACKSON"," OLUSTEE"," 8218 COUNTY RD 121 E RD           ","11/23/2002"
"JEFFERSON"," ADDINGTON"," 427 EVERETT                       ","4/19/2002"
"JEFFERSON"," WAURIKA"," 415 1/2 NONA E                     ","4/6/2001"
"JEFFERSON"," WAURIKA"," 401 1/2 MORGAN ST                 ","11/7/2004"
"JEFFERSON"," WAURIKA"," 20447 E COUNTY ROAD 159           ","10/23/2006"
"JOHNSTON"," MILL"," MILL CREEK            815 ZINN S                        ","10/24/2000"
"JOHNSTON"," MILL"," MILL CREEK           21124 STATE HIGHWAY 19              ","3/1/2002"
"JOHNSTON"," TISHOMINGO"," 224 EAST 1ST STREET                ","9/15/2000"
"JOHNSTON"," TISHOMINGO"," 904 WEST C STREET                  ","11/15/2000"
"JOHNSTON"," TISHOMINGO"," 602 7TH E ST                      ","10/2/2004"
"JOHNSTON"," TISHOMINGO"," 702 A E ST                        ","9/17/2011"
"JOHNSTON"," WAPANUCKA"," 407 8TH N ST                      ","10/14/2003"
"KAY"," BLACKWELL"," 406 MOORE E ST                    ","2/13/2008"
"KAY"," BLACKWELL"," 109 1/2 KIMP S                    ","1/18/2011"
"KAY"," KAW"," KAW CITY              208 BROADWAY S                    ","1/13/2005"
"KAY"," NEWKIRK"," 112 LAFEVERS                       ","7/9/2003"
"KAY"," PONCA"," PONCA CITY            901 MAYTUBBY N                    ","7/30/2002"
"KAY"," PONCA"," PONCA CITY           1100 SOUTH BYRD STREET 37          ","9/25/2002"
"KAY"," PONCA"," PONCA CITY            1223 LINCOLN W                     ","4/3/2003"
"KAY"," PONCA"," PONCA CITY            611 4TH N ST                      ","8/11/2003"
"KAY"," PONCA"," PONCA CITY           1301 WEST COOLIDGE AVENUE          ","8/20/2003"
